Part Number,Quantity,Description
"0","50",""
"1.75mm Filament Hinge","1",""
"10in MIC6 Plate","1",""
"2020 Drop-in T-nut, M3","82",""
"2020 Drop-in T-nut, M5","68",""
"221-415","3",""
"250","7",""
"300","7",""
"350","7",""
"3x6mm Magnet","10",""
"4020 Blower Fan","1",""
"40x40x10 DC Fan","1",""
"4x3mm PTFE Guide Tube","1",""
"5x30 Shaft","1",""
"5x60 Shaft - With Flat","4",""
"6020 Housing","3",""
"6020 Impeller","3",""
"60mm_exhaust_fan_grill","1",""
"625 2RS","12",""
"8008:5430","1",""
"8008:5938","1",""
"8008:6210","1",""
"8009:2302","1",""
"8009:2553","1",""
"8009:2706","1",""
"8009:461","1",""
"90deg Corner","1",""
"90deg Corner (OpenBuilds)","3",""
"A Belt","1",""
"A Drive Frame Lower","1",""
"A Drive Frame Upper","1",""
"B Belt","1",""
"B Drive Frame Lower","1",""
"B Drive Frame Upper","1",""
"BMG Gear","1",""
"BMG Thumb Screw","1",""
"BSP Bowden Connector v1","1",""
"BTT_Knob_Light_Shield","1",""
"Base Plate","4",""
"Bed heater","1",""
"Belt Tensioner","4",""
"Belt_Guard","4",""
"Blower Housing Front","1",""
"Blower Housing Rear","1",""
"Bowden Tube Holder","1",""
"Cable Cover","1",""
"Ceramic Cartridge Heater","1",""
"Chain Anchor 2 Hole","1",""
"Chain Anchor 3 Hole","1",""
"Chain Retainer Bracket","1",""
"Connector cover","1",""
"D2F_Endstop_Pod","1",""
"DIN Clips","7",""
"DIN3 Rail","2",""
"Deck Panel","1",""
"Direct_Drivegear","1",""
"Door Handle A","2",""
"Door Handle B","2",""
"Door Latch","2",""
"Dragon Body Front","1",""
"Dragon Body Rear","1",""
"Dragon Hotend","1",""
"DragonflyBMO_Body_Front","1",""
"DragonflyBMO_Body_Rear","1",""
"DragonflyBMS_Body_Front","1",""
"DragonflyBMS_Body_Rear","1",""
"Dragonfly_BMO","1",""
"Duet3_Mini5 +expander","1",""
"Duet3_Mini_5_+expander","1",""
"E3D Revo Micro","1",""
"E3D Revo Micro Body Front","1",""
"E3D Revo Micro Body Rear","1",""
"E3D V6 Body Front","1",""
"E3D V6 Body Rear","1",""
"EXP MOT Bracket","1",""
"Exhaust Grill","1",""
"Exhaust Housing","1",""
"Exhaust Mount","2",""
"Extruder Body","1",""
"Extruder Motor Plate","1",""
"F695 ZZ","20",""
"Fan Grill A","2",""
"Fan Grill B","2",""
"Fan Grill Retainer","2",""
"Filter Element","6",""
"Filtered_Inlet_Skirt","1",""
"Flex Sheet","1",""
"Foam Tape","2",""
"Foam Tape (1mm)","1",""
"Foam Tape (3mm)","1",""
"For_1.0mm_Mounting_Tabs","1",""
"For_1.2mm_Mounting_Tabs","1",""
"Front Door Left","1",""
"Front Door Right","1",""
"Front Idler A Bottom","1",""
"Front Idler A Top","1",""
"Front Idler B Bottom","1",""
"Front Idler B Top","1",""
"Front_Skirt_Logo","1",""
"Fuse","1",""
"GT2 16T","4",""
"GT2 188mm Belt Loop","4",""
"GT2 20T 6mm","2",""
"GT2 20T 6mm Deflanged","1",""
"GT2 20T 9mm","4",""
