RepRapFirmware height map file v2 generated at 2018-07-22 17:11, mean error 0.034, deviation 0.051
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
55.00,295.00,30.00,270.00,-1.00,30.00,30.00,9,9
  0.128,  0.123,  0.118,  0.115,  0.115,  0.125,  0.135,  0.143,  0.138
  0.090,  0.085,  0.062,  0.055,  0.050,  0.058,  0.068,  0.080,  0.088
  0.082,  0.058,  0.038,  0.010,  0.003,  0.005,  0.020,  0.023,  0.043
  0.058,  0.038,  0.013, -0.015, -0.033, -0.017, -0.007,  0.008,  0.033
  0.050,  0.025,  0.013, -0.023, -0.053, -0.040, -0.025, -0.002,  0.043
  0.058,  0.025,  0.005, -0.025, -0.053, -0.062, -0.027,  0.010,  0.048
  0.060,  0.025,  0.005, -0.012, -0.030, -0.045, -0.023,  0.018,  0.050
  0.078,  0.038,  0.013, -0.002, -0.025, -0.025, -0.012,  0.025,  0.085
  0.108,  0.078,  0.050,  0.018,  0.005,  0.013,  0.025,  0.062,  0.123
